description,id,maxCount,name,options,points,requiresUpgrade,targetModel,targetModelType,targetModels,type
The Ordnance Master can replace their Lasrifle with a Laspistol and Charnabal Sabre.,ordnance-master-weapon-upgrade,1,Ordnance Master Weapon Upgrade,"[{""id"":""ordnance-master-charnabal-laspistol-option"",""name"":""Charnabal Sabre and Laspistol"",""description"":""Replace Lasrifle with Charnabal Sabre and Laspistol"",""points"":0,""weaponReplacements"":[{""replaceWeapon"":""lasrifle"",""addWeapon"":""charnabal-sabre""},{""replaceWeapon"":""lasrifle"",""addWeapon"":""laspistol""}]}]",,,,ordnance-master-model,,weapon
The Ordnance Master can replace their Laspistol with different pistol weapons.,ordnance-master-pistol-upgrade,1,Ordnance Master Pistol Upgrade,"[{""id"":""ordnance-master-blast-pistol-option"",""name"":""Blast Pistol"",""description"":""Replace Laspistol with a Blast Pistol"",""points"":3,""replaceWeapon"":""laspistol"",""addWeapon"":""blast-pistol""},{""id"":""ordnance-master-needle-pistol-option"",""name"":""Needle Pistol"",""description"":""Replace Laspistol with a Needle Pistol"",""points"":5,""replaceWeapon"":""laspistol"",""addWeapon"":""needle-pistol""},{""id"":""ordnance-master-volkite-serpenta-option"",""name"":""Volkite Serpenta"",""description"":""Replace Laspistol with a Volkite Serpenta"",""points"":5,""replaceWeapon"":""laspistol"",""addWeapon"":""volkite-serpenta""},{""id"":""ordnance-master-hand-flamer-option"",""name"":""Hand Flamer"",""description"":""Replace Laspistol with a Hand Flamer"",""points"":5,""replaceWeapon"":""laspistol"",""addWeapon"":""hand-flamer""},{""id"":""ordnance-master-plasma-pistol-option"",""name"":""Plasma Pistol"",""description"":""Replace Laspistol with a Plasma Pistol"",""points"":5,""replaceWeapon"":""laspistol"",""addWeapon"":""plasma-pistol""}]",,ordnance-master-weapon-upgrade,,ordnance-master-model,,weapon
The Ordnance Master can add a Bayonet to their Lasrifle.,ordnance-master-bayonet-upgrade,1,Ordnance Master Bayonet Upgrade,"[{""id"":""ordnance-master-bayonet-option"",""name"":""Bayonet"",""description"":""Add a Bayonet to the Lasrifle"",""points"":1,""addWeapon"":""bayonet""}]",,,,ordnance-master-model,,weapon
The Ordnance Master can add a Blast Charger to their Lasrifle.,ordnance-master-blast-charger-upgrade,1,Ordnance Master Blast Charger Upgrade,"[{""id"":""ordnance-master-blast-charger-option"",""name"":""Blast Charger"",""description"":""Add a Blast Charger to the Lasrifle"",""points"":1,""addWeapon"":""blast-charger""}]",,,,ordnance-master-model,,weapon
Veterans can have various wargear options.,veteran-wargear-options,1,Veteran Wargear Options,"[{""id"":""veteran-command-vox-option"",""name"":""Command Vox"",""description"":""Add a Command Vox to one Veteran"",""points"":10,""addWargear"":""command-vox""},{""id"":""veteran-augury-scanner-option"",""name"":""Augury Scanner"",""description"":""Add an Augury Scanner to one Veteran"",""points"":10,""addWargear"":""augury-scanner""},{""id"":""veteran-auxilia-vexilla-option"",""name"":""Auxilia Vexilla"",""description"":""Add an Auxilia Vexilla to one Veteran"",""points"":5,""addWargear"":""auxilia-vexilla""},{""id"":""veteran-melta-bomb-option"",""name"":""Melta Bomb"",""description"":""Add a Melta Bomb to one Veteran"",""points"":10,""addWargear"":""melta-bomb""}]",,,,veteran-model,,wargear
Veterans with Lasrifles can add bayonet and blast charger options.,veteran-weapon-additions,1,Veteran Weapon Additions,"[{""id"":""veteran-bayonet-option"",""name"":""Bayonet"",""description"":""Add a Bayonet to the Lasrifle"",""points"":1,""addWeapon"":""bayonet""},{""id"":""veteran-blast-charger-option"",""name"":""Blast Charger"",""description"":""Add a Blast Charger to the Lasrifle"",""points"":1,""addWeapon"":""blast-charger""}]",,,,veteran-model,,weapon
One Veteran in the unit may have a Command Vox for enhanced communications.,artillery-veteran-command-vox-upgrade,1,Artillery Veteran Command Vox Upgrade,"[{""id"":""artillery-veteran-command-vox-option"",""name"":""Command Vox"",""description"":""Add a Command Vox to one Veteran"",""points"":10,""addWargear"":""command-vox""}]",,,,veteran-model,,wargear
One Veteran in the unit may have an Augury Scanner for enhanced detection.,artillery-veteran-augury-scanner-upgrade,1,Artillery Veteran Augury Scanner Upgrade,"[{""id"":""artillery-veteran-augury-scanner-option"",""name"":""Augury Scanner"",""description"":""Add an Augury Scanner to one Veteran"",""points"":10,""addWargear"":""augury-scanner""}]",,,,veteran-model,,wargear
One Veteran in the unit may carry an Auxilia Vexilla banner.,artillery-veteran-auxilia-vexilla-upgrade,1,Artillery Veteran Auxilia Vexilla Upgrade,"[{""id"":""artillery-veteran-auxilia-vexilla-option"",""name"":""Auxilia Vexilla"",""description"":""Add an Auxilia Vexilla to one Veteran"",""points"":5,""addWargear"":""auxilia-vexilla""}]",,,,veteran-model,,wargear
One Veteran in the unit may have a Melta Bomb.,artillery-veteran-melta-bomb-upgrade,1,Artillery Veteran Melta Bomb Upgrade,"[{""id"":""artillery-veteran-melta-bomb-option"",""name"":""Melta Bomb"",""description"":""Add a Melta Bomb to one Veteran"",""points"":10,""addWargear"":""melta-bomb""}]",,,,veteran-model,,wargear
Any Veteran with a Lasrifle can add a Bayonet.,artillery-veteran-bayonet-upgrade,dependent,Artillery Veteran Bayonet Upgrade,"[{""id"":""artillery-veteran-bayonet-option"",""name"":""Bayonet"",""description"":""Add a Bayonet to the Lasrifle"",""points"":1,""addWeapon"":""bayonet""}]",,,,veteran-model,,weapon
Any Veteran with a Lasrifle can add a Blast Charger.,artillery-veteran-blast-charger-upgrade,dependent,Artillery Veteran Blast Charger Upgrade,"[{""id"":""artillery-veteran-blast-charger-option"",""name"":""Blast Charger"",""description"":""Add a Blast Charger to the Lasrifle"",""points"":1,""addWeapon"":""blast-charger""}]",,,,veteran-model,,weapon
The unit can include up to 5 additional Veterans.,additional-artillery-veterans-upgrade,5,Additional Artillery Veterans,"[{""id"":""additional-artillery-veterans-option"",""name"":""Additional Artillery Veteran"",""description"":""Add one Veteran to the unit"",""points"":7}]",7,,veteran-model,,,model-count
Replace the Battlecannon with different turret-mounted weapon options,command-tank-turret-weapon-upgrade,dependent,Command Tank Turret Weapon Upgrade,"[{""id"":""gravis-autocannon-option"",""name"":""Gravis Autocannon"",""description"":""Replace Battlecannon with a Gravis Autocannon"",""points"":0,""weaponReplacements"":[{""replaceWeapon"":""battlecannon"",""addWeapon"":{""id"":""gravis-autocannon"",""mount"":""Turret Mounted""}}]},{""id"":""twin-lascannon-option"",""name"":""Twin Lascannon"",""description"":""Replace Battlecannon with a Twin Lascannon"",""points"":0,""weaponReplacements"":[{""replaceWeapon"":""battlecannon"",""addWeapon"":{""id"":""twin-lascannon"",""mount"":""Turret Mounted""}}]},{""id"":""vanquisher-cannon-option"",""name"":""Vanquisher Cannon + Coaxial Heavy Stubber"",""description"":""Replace Battlecannon with a Vanquisher Cannon and add a Coaxial Heavy Stubber"",""points"":10,""weaponReplacements"":[{""replaceWeapon"":""battlecannon"",""addWeapon"":""vanquisher-cannon""},{""replaceWeapon"":""heavy-bolter"",""addWeapon"":""heavy-stubber""}]},{""id"":""demolisher-cannon-option"",""name"":""Demolisher Cannon"",""description"":""Replace Battlecannon with a Demolisher Cannon"",""points"":30,""weaponReplacements"":[{""replaceWeapon"":""battlecannon"",""addWeapon"":""demolisher-cannon""}]},{""id"":""executioner-plasma-destroyer-option"",""name"":""Executioner Plasma Destroyer"",""description"":""Replace Battlecannon with an Executioner Plasma Destroyer"",""points"":25,""weaponReplacements"":[{""replaceWeapon"":""battlecannon"",""addWeapon"":""executioner-plasma-destroyer""}]},{""id"":""volkite-macro-saker-option"",""name"":""Volkite Macro-Saker"",""description"":""Replace Battlecannon with a Volkite Macro-Saker"",""points"":0,""weaponReplacements"":[{""replaceWeapon"":""battlecannon"",""addWeapon"":""volkite-macro-saker""}]}]",,,,command-tank-model,,weapon
Replace the Heavy Bolter with different hull-mounted weapon options,command-tank-hull-weapon-upgrade,dependent,Command Tank Hull Weapon Upgrade,"[{""id"":""heavy-flamer-hull-option"",""name"":""Heavy Flamer"",""description"":""Replace Heavy Bolter with a Heavy Flamer"",""points"":0,""weaponReplacements"":[{""replaceWeapon"":""heavy-bolter"",""addWeapon"":{""id"":""heavy-flamer"",""mount"":""Hull (Front) Mounted""}}]},{""id"":""multi-laser-hull-option"",""name"":""Multi-Laser"",""description"":""Replace Heavy Bolter with a Multi-Laser"",""points"":0,""weaponReplacements"":[{""replaceWeapon"":""heavy-bolter"",""addWeapon"":""multi-laser""}]},{""id"":""autocannon-hull-option"",""name"":""Autocannon"",""description"":""Replace Heavy Bolter with an Autocannon"",""points"":5,""weaponReplacements"":[{""replaceWeapon"":""heavy-bolter"",""addWeapon"":""autocannon""}]},{""id"":""lascannon-hull-option"",""name"":""Lascannon"",""description"":""Replace Heavy Bolter with a Lascannon"",""points"":10,""weaponReplacements"":[{""replaceWeapon"":""heavy-bolter"",""addWeapon"":""lascannon""}]}]",,,,command-tank-model,,weapon
Add pintle-mounted weapons to the vehicle,command-tank-pintle-weapon-upgrade,1,Command Tank Pintle Weapon Upgrade,"[{""id"":""pintle-heavy-stubber-option"",""name"":""Pintle Heavy Stubber"",""description"":""Add a pintle-mounted Heavy Stubber"",""points"":5,""addWeapon"":""heavy-stubber""},{""id"":""pintle-heavy-flamer-option"",""name"":""Pintle Heavy Flamer"",""description"":""Add a pintle-mounted Heavy Flamer"",""points"":10,""addWeapon"":""heavy-flamer""},{""id"":""pintle-multi-laser-option"",""name"":""Pintle Multi-Laser"",""description"":""Add a pintle-mounted Multi-Laser"",""points"":10,""addWeapon"":""multi-laser""}]",,,,command-tank-model,,weapon
Add a Hunter-Killer Missile to the vehicle,command-tank-hunter-killer-missile-upgrade,1,Command Tank Hunter-Killer Missile Upgrade,"[{""id"":""hunter-killer-missile-option"",""name"":""Hunter-Killer Missile"",""description"":""Add a turret-mounted Hunter-Killer Missile"",""points"":5,""addWeapon"":""hunter-killer-missile""}]",,,,command-tank-model,,weapon
Add various wargear options to the vehicle,command-tank-wargear-upgrade,1,Command Tank Wargear Upgrade,"[{""id"":""searchlight-option"",""name"":""Searchlight"",""description"":""Add a Searchlight to the vehicle"",""points"":5,""addWargear"":""searchlight""},{""id"":""dozer-blade-option"",""name"":""Dozer Blade"",""description"":""Add a Dozer Blade to the vehicle"",""points"":5,""addWargear"":""dozer-blade""},{""id"":""flare-shield-option"",""name"":""Flare Shield"",""description"":""Add a Flare Shield to the vehicle"",""points"":5,""addWargear"":""flare-shield""}]",,,,command-tank-model,,wargear
The unit can include up to 10 more Veletarii.,additional-veletaris-storm-veletarii-upgrade,10,Additional Veletaris Storm Veletarii,"[{""id"":""additional-veletaris-storm-veletarii-option"",""name"":""Additional Veletarii"",""description"":""Add one Veletarii to the unit"",""points"":8}]",8,,veletarii-model,,,model-count
The Veletarii Prime can replace their Volkite Charger with a Laspistol and Charnabal Tabar.,veletarii-prime-weapon-upgrade,1,Veletarii Prime Weapon Upgrade,"[{""id"":""veletarii-prime-charnabal-laspistol-option"",""name"":""Charnabal Tabar and Laspistol"",""description"":""Replace Volkite Charger with Charnabal Tabar and Laspistol"",""points"":0,""weaponReplacements"":[{""replaceWeapon"":""volkite-charger"",""addWeapon"":""charnabal-tabar""},{""replaceWeapon"":""volkite-charger"",""addWeapon"":""laspistol""}]}]",,,,veletarii-prime-model,,weapon
The Veletarii Prime can replace their Charnabal Tabar with different melee weapons.,veletarii-prime-tabar-upgrade,1,Veletarii Prime Tabar Upgrade,"[{""id"":""veletarii-prime-power-sword-option"",""name"":""Power Sword"",""description"":""Replace Charnabal Tabar with a Power Sword"",""points"":5,""weaponReplacements"":[{""replaceWeapon"":""charnabal-tabar"",""addWeapon"":""power-sword""}]},{""id"":""veletarii-prime-power-fist-option"",""name"":""Power Fist"",""description"":""Replace Charnabal Tabar with a Power Fist"",""points"":10,""weaponReplacements"":[{""replaceWeapon"":""charnabal-tabar"",""addWeapon"":""power-fist""}]}]",,veletarii-prime-weapon-upgrade,,veletarii-prime-model,,weapon
The Veletarii Prime can replace their Laspistol with different pistol weapons.,veletarii-prime-pistol-upgrade,1,Veletarii Prime Pistol Upgrade,"[{""id"":""veletarii-prime-blast-pistol-option"",""name"":""Blast Pistol"",""description"":""Replace Laspistol with a Blast Pistol"",""points"":3,""replaceWeapon"":""laspistol"",""addWeapon"":""blast-pistol""},{""id"":""veletarii-prime-needle-pistol-option"",""name"":""Needle Pistol"",""description"":""Replace Laspistol with a Needle Pistol"",""points"":5,""replaceWeapon"":""laspistol"",""addWeapon"":""needle-pistol""},{""id"":""veletarii-prime-volkite-serpenta-option"",""name"":""Volkite Serpenta"",""description"":""Replace Laspistol with a Volkite Serpenta"",""points"":5,""replaceWeapon"":""laspistol"",""addWeapon"":""volkite-serpenta""},{""id"":""veletarii-prime-hand-flamer-option"",""name"":""Hand Flamer"",""description"":""Replace Laspistol with a Hand Flamer"",""points"":5,""replaceWeapon"":""laspistol"",""addWeapon"":""hand-flamer""},{""id"":""veletarii-prime-plasma-pistol-option"",""name"":""Plasma Pistol"",""description"":""Replace Laspistol with a Plasma Pistol"",""points"":5,""replaceWeapon"":""laspistol"",""addWeapon"":""plasma-pistol""}]",,veletarii-prime-weapon-upgrade,,veletarii-prime-model,,weapon
One Veletarii in the unit may have a Vox Interlock for enhanced communications.,veletaris-storm-vox-upgrade,1,Veletaris Storm Vox Upgrade,"[{""id"":""veletaris-storm-vox-option"",""name"":""Vox Interlock"",""description"":""Add a Vox Interlock to one Veletarii"",""points"":5,""addWargear"":""vox-interlock""}]",,,,veletarii-model,,wargear
One Veletarii in the unit may carry an Auxilia Vexilla banner.,veletaris-storm-vexilla-upgrade,1,Veletaris Storm Vexilla Upgrade,"[{""id"":""veletaris-storm-auxilia-vexilla-option"",""name"":""Auxilia Vexilla"",""description"":""Add an Auxilia Vexilla to one Veletarii"",""points"":5,""addWargear"":""auxilia-vexilla""}]",,,,veletarii-model,,wargear
The unit can include up to 10 more Veletarii.,additional-veletaris-vanguard-veletarii-upgrade,10,Additional Veletaris Vanguard Veletarii,"[{""id"":""additional-veletaris-vanguard-veletarii-option"",""name"":""Additional Veletarii"",""description"":""Add one Veletarii to the unit"",""points"":9}]",9,,veletarii-vanguard-model,,,model-count
The Veletarii Vanguard Prime can replace their Heavy Flamer with a Laspistol and Charnabal Tabar.,veletarii-vanguard-prime-weapon-upgrade,1,Veletarii Vanguard Prime Weapon Upgrade,"[{""id"":""veletarii-vanguard-prime-charnabal-laspistol-option"",""name"":""Charnabal Tabar and Laspistol"",""description"":""Replace Heavy Flamer with Charnabal Tabar and Laspistol"",""points"":0,""weaponReplacements"":[{""replaceWeapon"":""heavy-flamer"",""addWeapon"":""charnabal-tabar""},{""replaceWeapon"":""heavy-flamer"",""addWeapon"":""laspistol""}]}]",,,,veletarii-vanguard-prime-model,,weapon
The Veletarii Vanguard Prime can replace their Charnabal Tabar with different melee weapons.,veletarii-vanguard-prime-tabar-upgrade,1,Veletarii Vanguard Prime Tabar Upgrade,"[{""id"":""veletarii-vanguard-prime-power-sword-option"",""name"":""Power Sword"",""description"":""Replace Charnabal Tabar with a Power Sword"",""points"":5,""weaponReplacements"":[{""replaceWeapon"":""charnabal-tabar"",""addWeapon"":""power-sword""}]},{""id"":""veletarii-vanguard-prime-power-fist-option"",""name"":""Power Fist"",""description"":""Replace Charnabal Tabar with a Power Fist"",""points"":10,""weaponReplacements"":[{""replaceWeapon"":""charnabal-tabar"",""addWeapon"":""power-fist""}]}]",,veletarii-vanguard-prime-weapon-upgrade,,veletarii-vanguard-prime-model,,weapon
The Veletarii Vanguard Prime can replace their Laspistol with different pistol weapons.,veletarii-vanguard-prime-pistol-upgrade,1,Veletarii Vanguard Prime Pistol Upgrade,"[{""id"":""veletarii-vanguard-prime-blast-pistol-option"",""name"":""Blast Pistol"",""description"":""Replace Laspistol with a Blast Pistol"",""points"":3,""replaceWeapon"":""laspistol"",""addWeapon"":""blast-pistol""},{""id"":""veletarii-vanguard-prime-needle-pistol-option"",""name"":""Needle Pistol"",""description"":""Replace Laspistol with a Needle Pistol"",""points"":5,""replaceWeapon"":""laspistol"",""addWeapon"":""needle-pistol""},{""id"":""veletarii-vanguard-prime-volkite-serpenta-option"",""name"":""Volkite Serpenta"",""description"":""Replace Laspistol with a Volkite Serpenta"",""points"":5,""replaceWeapon"":""laspistol"",""addWeapon"":""volkite-serpenta""},{""id"":""veletarii-vanguard-prime-hand-flamer-option"",""name"":""Hand Flamer"",""description"":""Replace Laspistol with a Hand Flamer"",""points"":5,""replaceWeapon"":""laspistol"",""addWeapon"":""hand-flamer""},{""id"":""veletarii-vanguard-prime-plasma-pistol-option"",""name"":""Plasma Pistol"",""description"":""Replace Laspistol with a Plasma Pistol"",""points"":5,""replaceWeapon"":""laspistol"",""addWeapon"":""plasma-pistol""}]",,veletarii-vanguard-prime-weapon-upgrade,,veletarii-vanguard-prime-model,,weapon
One Veletarii in the unit may have a Vox Interlock for enhanced communications.,veletaris-vanguard-vox-upgrade,1,Veletaris Vanguard Vox Upgrade,"[{""id"":""veletaris-vanguard-vox-option"",""name"":""Vox Interlock"",""description"":""Add a Vox Interlock to one Veletarii"",""points"":5,""addWargear"":""vox-interlock""}]",,,,veletarii-vanguard-model,,wargear
One Veletarii in the unit may carry an Auxilia Vexilla banner.,veletaris-vanguard-vexilla-upgrade,1,Veletaris Vanguard Vexilla Upgrade,"[{""id"":""veletaris-vanguard-auxilia-vexilla-option"",""name"":""Auxilia Vexilla"",""description"":""Add an Auxilia Vexilla to one Veletarii"",""points"":5,""addWargear"":""auxilia-vexilla""}]",,,,veletarii-vanguard-model,,wargear
The unit can include up to 6 more Charonite Ogryns.,additional-charonite-ogryn-upgrade,6,Additional Charonite Ogryn,"[{""id"":""additional-charonite-ogryn-option"",""name"":""Additional Charonite Ogryn"",""description"":""Add one Charonite Ogryn to the unit"",""points"":40}]",40,,charonite-ogryn-model,,,model-count
The unit can include up to 10 more Auxiliaries.,additional-auxiliaries-upgrade,10,Additional Auxiliaries,"[{""id"":""additional-auxiliaries-option"",""name"":""Additional Auxiliary"",""description"":""Add one Auxiliary to the unit"",""points"":4}]",4,,auxiliary-model,,,model-count
The Auxilia Sergeant can replace their Lasrifle with a Laspistol and Charnabal Sabre.,auxilia-sergeant-weapon-upgrade,1,Auxilia Sergeant Weapon Upgrade,"[{""id"":""auxilia-sergeant-charnabal-laspistol-option"",""name"":""Charnabal Sabre and Laspistol"",""description"":""Replace Lasrifle with Charnabal Sabre and Laspistol"",""points"":0,""weaponReplacements"":[{""replaceWeapon"":""lasrifle"",""addWeapon"":""charnabal-sabre""},{""replaceWeapon"":""lasrifle"",""addWeapon"":""laspistol""}]}]",,,,auxilia-sergeant-model,,weapon
The Auxilia Sergeant can replace their Lasrifle with a different pistol weapon.,auxilia-sergeant-pistol-upgrade,1,Auxilia Sergeant Pistol Upgrade,"[{""id"":""auxilia-sergeant-blast-pistol-option"",""name"":""Blast Pistol"",""description"":""Replace Lasrifle with a Blast Pistol"",""points"":3,""replaceWeapon"":""lasrifle"",""addWeapon"":""blast-pistol""},{""id"":""auxilia-sergeant-needle-pistol-option"",""name"":""Needle Pistol"",""description"":""Replace Lasrifle with a Needle Pistol"",""points"":5,""replaceWeapon"":""lasrifle"",""addWeapon"":""needle-pistol""},{""id"":""auxilia-sergeant-volkite-serpenta-option"",""name"":""Volkite Serpenta"",""description"":""Replace Lasrifle with a Volkite Serpenta"",""points"":5,""replaceWeapon"":""lasrifle"",""addWeapon"":""volkite-serpenta""},{""id"":""auxilia-sergeant-hand-flamer-option"",""name"":""Hand Flamer"",""description"":""Replace Lasrifle with a Hand Flamer"",""points"":5,""replaceWeapon"":""lasrifle"",""addWeapon"":""hand-flamer""},{""id"":""auxilia-sergeant-plasma-pistol-option"",""name"":""Plasma Pistol"",""description"":""Replace Lasrifle with a Plasma Pistol"",""points"":5,""replaceWeapon"":""lasrifle"",""addWeapon"":""plasma-pistol""}]",,,,auxilia-sergeant-model,,weapon
The Auxilia Sergeant can add a bayonet for close combat.,auxilia-sergeant-bayonet-upgrade,1,Auxilia Sergeant Bayonet Upgrade,"[{""id"":""auxilia-sergeant-bayonet-option"",""name"":""Bayonet"",""description"":""Add a bayonet to the Auxilia Sergeant"",""points"":1,""addWeapon"":""bayonet""}]",,,,auxilia-sergeant-model,,weapon
The Auxilia Sergeant can add a blast charger for enhanced firepower.,auxilia-sergeant-blast-charger-upgrade,1,Auxilia Sergeant Blast Charger Upgrade,"[{""id"":""auxilia-sergeant-blast-charger-option"",""name"":""Blast Charger"",""description"":""Add a blast charger to the Auxilia Sergeant"",""points"":1,""addWeapon"":""blast-charger""}]",,,,auxilia-sergeant-model,,weapon
The Auxilia Sergeant can carry a melta bomb for anti-armor capability.,auxilia-sergeant-melta-bomb-upgrade,1,Auxilia Sergeant Melta Bomb Upgrade,"[{""id"":""auxilia-sergeant-melta-bomb-option"",""name"":""Melta Bomb"",""description"":""Add a melta bomb to the Auxilia Sergeant"",""points"":10,""addWeapon"":""melta-bomb""}]",,,,auxilia-sergeant-model,,weapon
Any Auxiliary with a Lasrifle can add a bayonet for close combat.,auxiliary-bayonet-upgrade,dependent,Auxiliary Bayonet Upgrade,"[{""id"":""auxiliary-bayonet-option"",""name"":""Bayonet"",""description"":""Add a bayonet to an Auxiliary"",""points"":1,""addWeapon"":""bayonet""}]",,,,auxiliary-model,,weapon
Any Auxiliary with a Lasrifle can add a blast charger for enhanced firepower.,auxiliary-blast-charger-upgrade,dependent,Auxiliary Blast Charger Upgrade,"[{""id"":""auxiliary-blast-charger-option"",""name"":""Blast Charger"",""description"":""Add a blast charger to an Auxiliary"",""points"":1,""addWeapon"":""blast-charger""}]",,,,auxiliary-model,,weapon
One Auxiliary in the unit may have a Vox Interlock for enhanced communications.,auxiliary-vox-upgrade,1,Auxiliary Vox Upgrade,"[{""id"":""auxiliary-vox-option"",""name"":""Vox Interlock"",""description"":""Add a Vox Interlock to one Auxiliary"",""points"":5,""addWargear"":""vox-interlock""}]",,,,auxiliary-model,,wargear
One Auxiliary in the unit may carry an Auxilia Vexilla banner.,auxiliary-vexilla-upgrade,1,Auxiliary Vexilla Upgrade,"[{""id"":""auxiliary-vexilla-option"",""name"":""Auxilia Vexilla"",""description"":""Add an Auxilia Vexilla to one Auxiliary"",""points"":5,""addWargear"":""auxilia-vexilla""}]",,,,auxiliary-model,,wargear
The unit can include up to 4 additional Hermes Veletaris Sentinels.,additional-hermes-veletaris-sentinels-upgrade,4,Additional Hermes Veletaris Sentinels,"[{""id"":""additional-hermes-veletaris-sentinel-option"",""name"":""Additional Hermes Veletaris Sentinel"",""description"":""Add one Hermes Veletaris Sentinel to the unit"",""points"":20}]",20,,hermes-veletaris-sentinel-model,,,model-count
Any Hermes Veletaris Sentinel can replace their Volkite Caliver with a Heavy Flamer.,hermes-veletaris-sentinel-weapon-upgrade,dependent,Hermes Veletaris Sentinel Weapon Upgrade,"[{""id"":""hermes-veletaris-sentinel-heavy-flamer-option"",""name"":""Heavy Flamer"",""description"":""Replace Volkite Caliver with a Heavy Flamer"",""points"":0,""replaceWeapon"":""volkite-caliver"",""addWeapon"":""heavy-flamer""}]",,,,hermes-veletaris-sentinel-model,,weapon
Add pintle-mounted weapons to the vehicle,basilisk-pintle-weapon-upgrade,1,Basilisk Pintle Weapon Upgrade,"[{""id"":""basilisk-pintle-heavy-stubber-option"",""name"":""Pintle Heavy Stubber"",""description"":""Add a pintle-mounted Heavy Stubber"",""points"":5,""addWeapon"":""heavy-stubber""},{""id"":""basilisk-pintle-heavy-flamer-option"",""name"":""Pintle Heavy Flamer"",""description"":""Add a pintle-mounted Heavy Flamer"",""points"":10,""addWeapon"":""heavy-flamer""},{""id"":""basilisk-pintle-multi-laser-option"",""name"":""Pintle Multi-Laser"",""description"":""Add a pintle-mounted Multi-Laser"",""points"":10,""addWeapon"":""multi-laser""}]",,,,basilisk-model,,weapon
Add a Hunter-Killer Missile to the vehicle,basilisk-hunter-killer-missile-upgrade,1,Basilisk Hunter-Killer Missile Upgrade,"[{""id"":""basilisk-hunter-killer-missile-option"",""name"":""Hunter-Killer Missile"",""description"":""Add a turret-mounted Hunter-Killer Missile"",""points"":5,""addWeapon"":""hunter-killer-missile""}]",,,,basilisk-model,,weapon
Add a Dozer Blade to the vehicle,basilisk-dozer-blade-upgrade,1,Basilisk Dozer Blade Upgrade,"[{""id"":""basilisk-dozer-blade-option"",""name"":""Dozer Blade"",""description"":""Add a Dozer Blade to the vehicle"",""points"":5,""addWargear"":""dozer-blade""}]",,,,basilisk-model,,wargear
Add a Searchlight to the vehicle,basilisk-searchlight-upgrade,1,Basilisk Searchlight Upgrade,"[{""id"":""basilisk-searchlight-option"",""name"":""Searchlight"",""description"":""Add a Searchlight to the vehicle"",""points"":5,""addWargear"":""searchlight""}]",,,,basilisk-model,,wargear
Add pintle-mounted weapons to the vehicle,medusa-pintle-weapon-upgrade,1,Medusa Pintle Weapon Upgrade,"[{""id"":""medusa-pintle-heavy-stubber-option"",""name"":""Pintle Heavy Stubber"",""description"":""Add a pintle-mounted Heavy Stubber"",""points"":5,""addWeapon"":""heavy-stubber""},{""id"":""medusa-pintle-heavy-flamer-option"",""name"":""Pintle Heavy Flamer"",""description"":""Add a pintle-mounted Heavy Flamer"",""points"":10,""addWeapon"":""heavy-flamer""},{""id"":""medusa-pintle-multi-laser-option"",""name"":""Pintle Multi-Laser"",""description"":""Add a pintle-mounted Multi-Laser"",""points"":10,""addWeapon"":""multi-laser""}]",,,,medusa-model,,weapon
Add a Hunter-Killer Missile to the vehicle,medusa-hunter-killer-missile-upgrade,1,Medusa Hunter-Killer Missile Upgrade,"[{""id"":""medusa-hunter-killer-missile-option"",""name"":""Hunter-Killer Missile"",""description"":""Add a turret-mounted Hunter-Killer Missile"",""points"":5,""addWeapon"":""hunter-killer-missile""}]",,,,medusa-model,,weapon
Add a Dozer Blade to the vehicle,medusa-dozer-blade-upgrade,1,Medusa Dozer Blade Upgrade,"[{""id"":""medusa-dozer-blade-option"",""name"":""Dozer Blade"",""description"":""Add a Dozer Blade to the vehicle"",""points"":5,""addWargear"":""dozer-blade""}]",,,,medusa-model,,wargear
Add a Searchlight to the vehicle,medusa-searchlight-upgrade,1,Medusa Searchlight Upgrade,"[{""id"":""medusa-searchlight-option"",""name"":""Searchlight"",""description"":""Add a Searchlight to the vehicle"",""points"":5,""addWargear"":""searchlight""}]",,,,medusa-model,,wargear
The unit can include up to 2 additional rapier crews (each crew consists of 1 Rapier Gunner and 1 Rapier Carrier).,additional-rapier-crews-upgrade,2,Additional Rapier Crews,"[{""id"":""additional-rapier-crew-option"",""name"":""Additional Rapier Crew"",""description"":""Add one Rapier Gunner and one Rapier Carrier to the unit"",""points"":30}]",30,,,,"{""rapier-gunner-model"":1,""rapier-carrier-model"":1}",model-group-count
Any Rapier Carrier can replace their Gravis Multi-Laser Battery with different weapon options.,rapier-carrier-weapon-upgrade,dependent,Rapier Carrier Weapon Upgrade,"[{""id"":""rapier-carrier-gravis-heavy-bolter-battery-option"",""name"":""Gravis Heavy Bolter Battery"",""description"":""Replace Gravis Multi-Laser Battery with a Gravis Heavy Bolter Battery"",""points"":5,""replaceWeapon"":""gravis-multi-laser-battery"",""addWeapon"":""gravis-heavy-bolter-battery""},{""id"":""rapier-carrier-laser-destroyer-option"",""name"":""Laser Destroyer"",""description"":""Replace Gravis Multi-Laser Battery with a Laser Destroyer"",""points"":25,""replaceWeapon"":""gravis-multi-laser-battery"",""addWeapon"":""laser-destroyer""},{""id"":""rapier-carrier-quad-launcher-option"",""name"":""Quad Launcher"",""description"":""Replace Gravis Multi-Laser Battery with a Quad Launcher"",""points"":20,""replaceWeapon"":""gravis-multi-laser-battery"",""addWeapon"":""quad-launcher""}]",,,,rapier-carrier-model,,weapon
